Name,SoldPrice,AskPrice,Rooms,Size,MonthlyRent,YearlyRent,YearBuilt,Region,Kommun,Lat,Log
Bagarfruvägen 3,1575000,1295000.0,1.0,22.0,1366.0,2500.0,1951.0,Sköndal,Stockholms,59.2552389,18.1123844
Bagarfruvägen 3,1500000,1350000.0,1.0,22.0,1639.0,2640.0,1951.0,Sköndal,Stockholms,59.2552389,18.1123844
Bagarfruvägen 3,3100000,2495000.0,3.0,79.0,4904.0,7848.0,1953.0,Sköndal,Stockholms,59.2552389,18.1123844
Aspnäsvägen 30 5 tr,1355000,1295000.0,1.0,42.0,2447.0,2400.0,1970.0,Jakobsberg,Järfälla,59.4238735,17.8329911
Nynäsvägen 38,1340000,1195000.0,,46.0,3131.0,3600.0,,Kullsta,Nynäshamn,58.9056457,17.9470987
Storängsvägen 9 B,1500000,1550000.0,1.0,39.0,2988.0,,1959.0,Åkersberga,Österåker,59.4823516,18.2943981
Varvsvägen 13,1700000,1495000.0,,35.0,2225.0,3000.0,2020.0,Masmo,Huddinge,59.249777,17.8814969
Varvsvägen 13,1700000,1495000.0,,35.0,2225.0,3000.0,2020.0,Vårby,Huddinge,59.2656026,17.8739829
Varvsvägen 13,1620000,1595000.0,,35.0,2230.0,,2020.0,Masmo,Huddinge,59.249777,17.8814969
Varvsvägen 13,1620000,1595000.0,,35.0,2230.0,,2020.0,Vårby,Huddinge,59.2656026,17.8739829
Varvsvägen 13,1620000,1495000.0,,35.0,2225.0,3000.0,2020.0,Masmo,Huddinge,59.249777,17.8814969
Varvsvägen 13,1620000,1495000.0,,35.0,2225.0,3000.0,2020.0,Vårby,Huddinge,59.2656026,17.8739829
Albyvägen 17 1tr.,1720000,1595000.0,3.0,81.0,5987.0,4650.0,1990.0,Norsborg,Botkyrka,59.2439038,17.8127308
Stig Lindbergs gata 19A,1700000,1700000.0,1.0,25.0,1854.0,6000.0,1939.0,Värmdö,Värmdö,59.3,18.583333
Stig Lindbergs gata 19A,1700000,1700000.0,1.0,25.0,1854.0,6000.0,1939.0,Porslinskvarteren,Värmdö,59.3218866,18.384632191894557
Stig Lindbergs gata 19A,2800000,2800000.0,2.0,50.0,3175.0,3600.0,1939.0,Värmdö,Värmdö,59.3,18.583333
Stig Lindbergs gata 19A,2800000,2800000.0,2.0,50.0,3175.0,3600.0,1939.0,Porslinskvarteren,Värmdö,59.3218866,18.384632191894557
Vasavägen 53,1290000,1290000.0,1.0,25.0,1994.0,3000.0,1958.0,Jakobsberg,Järfälla,59.4238735,17.8329911
Vasavägen 53,1220000,995000.0,1.0,25.0,1959.0,4200.0,1958.0,Jakobsberg,Järfälla,59.4238735,17.8329911
Vasavägen 53,2275000,1995000.0,3.0,86.0,4461.0,5938.0,,Jakobsberg,Järfälla,59.4238735,17.8329911
Grindvägen 32 A,1375000,1375000.0,2.0,55.0,2915.0,1800.0,1967.0,Grind,Norrtälje,59.7666692,18.7206703
Hackstavägen 12C 2tr,1650000,1695000.0,2.0,53.0,3706.0,,1961.0,Åkersberga,Österåker,59.4823516,18.2943981
Veckovägen 69,1750000,1700000.0,2.0,54.0,4060.0,,1962.0,Jakobsberg,Järfälla,59.4238735,17.8329911
Veckovägen 69,2000000,1795000.0,2.0,54.0,3884.0,2640.0,1962.0,Jakobsberg,Järfälla,59.4238735,17.8329911
Kvarnplan 1,1520000,1495000.0,,44.0,3788.0,4411.0,1968.0,Jakobsberg,Järfälla,59.4238735,17.8329911
Kvarnplan 1,1465000,1395000.0,1.0,49.0,3986.0,4032.0,,Jakobsberg,Järfälla,59.4238735,17.8329911
Kvarnplan 1,2430000,1990000.0,5.0,111.0,8643.0,,1968.0,Jakobsberg,Järfälla,59.4238735,17.8329911
Lantmätarvägen 15,1695000,1695000.0,2.0,53.0,2093.0,2400.0,,Upplands-Bro,Upplands-Bro,59.53570835,17.673861819777336
Lagmansbacken 6,1700000,1695000.0,2.0,45.0,2813.0,4500.0,2018.0,Norsborg,Botkyrka,59.2439038,17.8127308
Lagmansbacken 6,1700000,1695000.0,2.0,45.0,2813.0,4500.0,2018.0,Alby,Botkyrka,59.2391772,17.8450902
Lagmansbacken 6,1400000,1345000.0,2.0,36.0,2250.0,4560.0,,Norsborg,Botkyrka,59.2439038,17.8127308
Lagmansbacken 6,1400000,1345000.0,2.0,36.0,2250.0,4560.0,,Alby,Botkyrka,59.2391772,17.8450902
